id	MYCO000001	MYCO000002	MYCO000003	MYCO000004	MYCO000005	MYCO000006	MYCO000007	MYCO000008	MYCO000009	MYCO000010	MYCO000011	MYCO000012	MYCO000013	MYCO000014	MYCO000015	MYCO000016	MYCO000017	MYCO000018	MYCO000019	MYCO000020	MYCO000021	MYCO000022	MYCO000023	MYCO000024	MYCO000025	MYCO000026	MYCO000027	MYCO000028	MYCO000029	MYCO000030	MYCO000032	MYCO000033	MYCO000034	MYCO000035	MYCO000036	MYCO000037	MYCO000038	MYCO000039	MYCO000040	MYCO000041	MYCO000042	MYCO000043	MYCO000044	MYCO000045	MYCO000046	MYCO000047	MYCO000048	MYCO000049	MYCO000050	MYCO000051	MYCO000052	MYCO000054	MYCO000055	MYCO000057	MYCO000058	MYCO000059	MYCO000060	MYCO000061	MYCO000062	MYCO000063	MYCO000064	MYCO000065	MYCO000066	MYCO000067	MYCO000068	MYCO000069	MYCO000070	MYCO000071	MYCO000072	MYCO000073	MYCO000074	MYCO000075	MYCO000076	MYCO000077	MYCO000078	MYCO000079	MYCO000080	MYCO000081	MYCO000082	MYCO000083	MYCO000084	MYCO000085	MYCO000086	MYCO000087	MYCO000088	MYCO000089	MYCO000090	MYCO000091	MYCO000092	MYCO000093	MYCO000096	MYCO000097	MYCO000098	MYCO000099	MYCO000100
27	1	1	2	1	1	2	1	2	1	1	1	3	1	3	2	1	1	2	1	1	1	1	1	1	1	1	1	1	4		5	1	2		1	4	1	1	2	1	1	1	1	1	1	1	1	1	3			1	1				1	1	1		3	1	2	1	2	1	1	19	1	1	3	1	1		1	1	1	1	1		1	1	1	1	1	1	1	1			1	1	1	1	1
29	1	3	4	1	5	6	3	2	1	3	1	4	3	4	1	1	1	4	1	6	3	1	3	1	1	92	1	3	5	1		1	2	1	3	5	1	2	2	4	1		1	1	5	1	5	1	7	1	1	2	1	3		1	1	1		1	7	1	4	1	3	3	3	19	1	1	1	1	1	1	4	1		1	1	5	1	1	1	3	1	1	1	1	1	2	1	1	1	1	1
30	1	4	2	1	6	7	4	3	1	4	2	4	3	5	1	1	2	5	1	7	4	2	4	2	1	99	1	1	1	1	6	1	2	1	2	1	1	2	2	5	1	1	1	1	2	1	4	1		1	1	1	1	1		1	2	2		2	8	1	1	2	2	1	1	5	1	1		3	1	1	1	1		2	1		1	1	1	1	1	2	3	1	4	2	1	1	1	2	1
33	1	1	2	1	1	2	1	4	1	1	1	2	1	1	1	1	1	7	1	2	1	1				6	1	1	1	1		1	2	1	1	1	1		2	1	1	1	1	1	2	1	2	1	9	1	1	1	1	1	5	3	1	1	1			1	1	1	2	1	1	5	1	2	4	1	1	1	1	1	1	1	1		1		3	1	1	1	1	1	1	1	5	2	2	1	1
34	1	4	2	1	5	8	1	5	1	5	1	4	3	1	1	1	1	4	1	8	2	1	1	1	1	92	1	1	6	1	2	1	3	4	2	1	1	2	2	6	1	1	1	1	6	1	4	1	7	1	1	1	1	1		1	1	1	1		6	1	5	1	2	1	4	18	1	1	1	4	1	1	1	1	4	1	1	6	1	1	1	1	1	1	4	1	3	2	6	1	3	1	1
35		1	2	1	1	3	1	2	1	1	1	3	1	2	2	1	1	2	1	1	1	1	1	1	1	3	1	1	1			1	2	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	4	1	1	1	1	4		2	1	1	1	1	3	1	2	1	2	1	1	19	1	1	1	1	1	1	1	2	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
36	1	1	2	1	1	9	1	2	1	1	1	3	1		2	1	1	2	1	3	1	1	1	1	1	3	1	1	1			1	2	2	1	1	1	1	2		2	1	1	1	1	1	1	1	4	1	1	1	1	1																											1			1	1	1	1	1	5						
65	1	1	2	1	1	2	1	2	1	1	1	5	3	7		1	12	2	1	2	1	1	1		1	1	1	1	1	1	7	1	2	5	5	1	1	2	2	8	1	1	2		2	1	4	1	7	1	1	1	1	6	3	1	1		1	140		1	1	1	2	1	1					1	1	1	1	1	1	1	1		1	1	4	1	3	1	2	1	6	1	3	1	1		1
66	1	1	2	1	1	2	1	2	1	1	1	2	1	1		1	1	2	1	2	1	1	1			6	1	1	1	1		1	2	1	1	1	1	1	2	1	1	1		1	2	1	2	1	9	1	1	1	1	1	2	1	1	1	1	1		1	1	1	2	4	1	18	1	2	4	1	1	1	1	1	1	1			1	1	3	1	1	1	1	1	1	1	5	2	2	1	1
68	1	1		1	1	1		1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1			1	1	1	1	1	1	1	1		1	1	1	1	1	1
69	1	1	5	5	1	2	1	6	1	1	1	2	3	1		1	1	2	1	10		1	1		1	1	1	1	8	1		1	2	7	1	1	1	2	2	14	1	1			2	1	4	1		5	1	1	1	1	3	1	1	3	5	4		1	8	1	2	1	1	26	1	1	1	1	1	2	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	3	1	1		1
71	1	1	2	1	1	2		2	1	1	1	2	1	1		1	1	2	1	2	1	1	1	1		6	1	1	1	1		1	2	1	1	1	1		2	1	1	1	1	1	2	1	2	1	9	16		1	1	1	2	1	1	1	1	1		1	1	1	2	4	1		1	2	4	1	1	1	1	1	1	1			1	1	3	1	1	1	1	1	1	1	5	2	2	1	1
74	1	1	2	4	1	11		2	1	1	1	2	8	1	1	1	1	2	1	9	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	12	1	1		1	1	1	1	1	3	1	1	1	1	5	3	1	1	1	1	1		1	1	1	2	1	1	2	1	1		1	1	1	1	1	1	1			1	1	1	1	1	1	1	1	1	1		1	1	1	1
75	1	5	2	1	1	29		2	1	1	1	5	3	7	1	1	1	2	1	2	1	1	1		1	1	1	1	1	1	7	3	2	3	5	1	1	2		8	1	1	1		2	1	4	1	7	1	3	1	1	1	3	1	1		1	140		1	1	1	2	1	1					1	1	1		1	1	1	1		1	1	4	1	1	5	2	1	1	1	3	1	1		1
77	1	1	2	1	1	2		2	1	1	1	5	3	12		1	1	2	1		1	1	1		1	1	1	1	1	1	7	1	2	5	5	1	1	2		8	1	1			2	1	4	1	7	1	1	1	1	1	3	1	1		1	140		1	1	1	2	1	1					6	1	1	1	1	1	1			1	1	4	1	3	1	2	1	6	1	3	1	1	1	1
78	1	1	2	1	1	2		2	1	1	1	5	3	7		1	1	2	1		1	1	1		1	1	1	1	1	1		1	2	5	5	1	1	2	2	8	1	1	2		2	1	4	1	7	1	1		1	1	10	1	1		1			1	1	1	2	1	1					1	1	1	1	1	1	1			1	1	4	1	3	1	2	1	6	1	3	1	1	1	1
80	1	1	2	1	1	2	1	4	1	1	1	2	1	1		1	1	2	1	2	1	1	1	1		6	1	1	1	1		1	2	1	1	1	1	1	2		1	1		1	2	1	2	1	9	1	1	1	1	1	2	3	1	1	1	1		1	1	1	2	1	1	1	1	2		1	1	1	1	1	1	1			1	1	3	1	1	1	1	1	1	1	5	2	2		1
82	1	1	2	1	1	2	1	2	1	1	1	2	1	1		1	1	10	1	13	1	1	1	1	1	1	1	1	1	3	1	1	2	8	1	1		1	2		1	1		1	10	1	1	1	3	10	1	1	1	1	3	1	1	1	1	5		1	1	1	2	1	1	19	1	1		1	1	1	1	1	1	4	1		1	1	1	1	1	1	1	1	12	1	1	1	1		1
83	1	1	6	1	1	2		2	1	1	1	5	3	7		1	1	2	1	2	1	1	1		1	1	1	1		1	7	1	2	5	5	1	1	2		8	1	1	2		2	1	4	1		1	1		1	1	3	1	1		1	140		1	1	1	2	1	1					1	1	1	1	1	1	1			1	1	4	1	3	1	2	1	6	1	3	1	1	1	1
84	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	13		1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	21	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1			1	1		1	1	1	1	1		1	1	1	1		1
85	1	1	2	1	1	2	1	2	1	1	1	5	3	7	5	1	1	2	1		1	1	1		1	1	1	1	1	1	7	1	2	5	5	1	1	2	2	8	1	1	2		2	1	4	1	7	1	1	1	1	1	3	1	1		1	140		1	1	1	2	1	1					1	1	1	1	1	1	1			1	1	4	1	3	1	2	1	6	1	3	1	1		1
86	1	1	2	1	1	2	1	2	1	1	1	5	3	8		1	6	2	1	2	1	1	1		1	1	1	1	1	1	4	1	2	3	8	1	1	2	2	8	1	1	1		2	1	4	1	7	1	1	1	1	1	3	1	1		1	140		2	7	1	2	1	1					1	1	1	1	1	1	1			1	1	4	1	1	1	2	1	1	1	3	1	1	1	1
87	1	1	6	1	1	2		2	1	1	1	5	3	7		1	1	2	1	2	1	1	1		1	1	1	1	1	1	7	1	2	5		1	1	2	2	8	1	1	2		2	1	4	1	7	1	1	1	1	1	3	1	1		1	140		1	1	1	2	1	1					1	1	1	1	1	1	1			1	1	4	1	3	1	2	1	6	1	3	1	1	1	1
89	1	1	6	1	1	2		2	1	1	1	5	3	7	5	1	1	2	1	2	1	1	1		1	1	1	1	1	1	7	1	2	5	5	1	1	2	2	8	1	1	2		2	1	4	1	7	1	1	1	1	1	3	1	1		1	140		1	1	1	2	1	1					1	1	1	1	1	1	1			1	1	4	1	3	1	2	1	6	1	3	1	1		1
90	1	4	2	1	8	28	1	2	4	4	1	4	6	1	1	5	1	5	1	12	4	1	4	1	1	89	1	1	9	1	6	1	2	1	7	1		2	2		1	1		1	2	1	4	1	7	1		1	1	1	9	1	2	2	6	2		1	1	2	2	1	7	19	1	1		7	1	1	1	1	2	2	1		1	1	7	1	1	1	3	1	11	2	13	1	1		1
91	1	4	2	1	8	13		2	1	4	1	4	9	1		1	7	11	8	2	4	1	4		1	89	1	1	10	1	6	1	2	9	2	1		2	2	7	1	1		1	2	1	4	1		1	1	1	1	7	3	1	2	2	7	6		1	1	4	2	6	8	1	1	1			1	1	1	1	2	2			1	1	1	1	1	1	8	1	1	6	1	1	1		1
92	1	1		1	1	2	1	2	1	1	1	5	3	7		1	1	2	1	2	1	1	1		1	1	1	1	1	1		1	2	5	5	1	1	2	2	8		1	2		2	1	4	1	7	1	1	1	1	1	3	1	1		1	140		1	1	1	2	1	1					1	1	1		4	1	1			1	1	4	1	3	3	2	1	6	1		1	1	1	1
93	1	1	2	1	1	30		2	1	1	1	2	1	1		1	1	2	1	1	1	1	1	4	1	1	1	1	1	1		1	1	1	1	1	1	1		1	1	1		1	1	1	9	1	4	1	1	1	1	1	3	1	1	1	1	1	3	1	1	1	2	1	1		1	1	1	1	1	1	1	1	1	1			1	1	1	1	1	1	1	1	13	1		1	1	1	1
94	1	1	2	1	1	2		2	1	1	1	2	1	1	1	1	1	2	1	2	1	1	1	1		6	1	1	1	1		1	2	1	1	1	1	1	6	1	1	1	1	1	2	1	2	1	9	1	1	1	1	1	2	1	1	1	1	1		1	1	1	2	4	1	5	1	2	4	1	1	1	1	1	1	1	1		1	1	3	1	1	1	1	1	1	1	5	2	2	1	1
95	7	1	7	1	15	2	1	2	1	1	1	2	1	1		1	1	2	1	2	1	1	1			6	1	1	11	1		1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1	9	1	1	1	1	1	2	1	1	1	1	1		1	1	1	2	1	9	18	1	2	4	1	1	1	1	1	1	1	1		1	1	3	1	1	1	1	1	1	1	5	2	2	1	1
96	8	4	2	1	8	31	7	2	1	4	1	4	3	1	1	1	7		1	2	4	1	4		1	89	1	1	10	1	6	1	2	1	2	1	1	2	2	7	1	1	1	1	2	1	4	1	7	1	1	1	1	7	3	1	2	2	8	7		1	1	4	2	6	1	5	1	1		1	1	1	1	6	6	2			2		1	1	1	1	3	1	1	2	1	1	1		1
97	1	1	6	1	1	2		2	1	1	1	5	3	7	5	1	1	2	1	2	1	1	1		1	1	1	1	1	1	7	1	2	5	5	1	1	2		8	1	1	2		2	1	4	1	7	1	1	1	1	1	3	1	1		1	140		1	1	1	2	1	1					1	1	1	1	1	1	1			1	1	4	1	3	1	2	1	14	1	3	1	1		1
98	1	1	6	1	1	2		2	1	1	1	5	3	7		1	1	2	1	2	1	1	1		1	1	1	1	1	1	7	1	2	5	5		1	2	2	8	1	1			2	1	4	1	7	1	1	1	1	1	3	1	1		1	140		1	1	1	2	1	1					1	1	1	1	1	1	1			1	1	4	1	3	1	2	1	6	1	3	1	1	1	1
99	8	4	2	1	8	31	7	2	1	4	1	4	3	1	1	1	7	5	1	14	4	1	4	1	1	89	1	1	10	1	6	1	2	1	2	1		2	2		1	1		1	2	1	4	1	7	1	1	1	1	7	3	1	2	2	8	7		1	1	4	2	6	1	1	1	1		1	1	1	1	1	6	2	1		2	1	1	1	1	1	3	1	1	2	1	1	1		1
100	1	1	5	1	1	2	1	6	1	1	1	2	3	1	1	1	1	2	1	11		1	1	1	1	1	1	1	8	1		1	2	1	1	1		2	2	1	1	1			2	1	4	1	11	5	1	1	1	1	3	1	1	3	5	4		1	8	1	2	1	1	19	1	1		1	1	2	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1		1	1		1
101	9	1	2	1	1	2		2	1	1	1	2	5	1		1		2	1	2	1	1	1	1	1	1	1	1	12	1	1	1	2	1	1	1	1	1	2	16	1	1	1	1	2	1	1	1	10	1	1	1	1	1	3	1	1	1	1	1		1	1	3	2	1	1	18	1		1		1	1	1	1	1	1			1	1	1	1	1	1	1	1	1	4	14	1	1		1
102	1	1	2	1	1	11	1	2	1	1	1	2	1	1	1	1	1	12	1	15	1	1	1	4	1	1	1	1	1	1	8	1	1	1	1	1	1	1	2	1	1	1		1	1	1	1	1			1	1	1	1	3	1	1	1	1	1		1	1	1	2	1	10	1	1	4		1	1	3	1	1	1	1	1		1	1	1	1	1	1	1	1	15	1	1	1	1		1
103	1	1	1	1	1	1		1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1			1	1	1	1	1	1	1	1		1	1	1	1		1
104	1	1	5	1	1	32	1	6	1	1	1	2	3	1		1	1	2	1	11		1	5	1	1	1	1	1	1	1		1	2	1	1	1	1	2	2	1	1	1	1		2	1	4	1	11	5	1	1	1	1	3	1	1	3	5	4		1	8	1	2	1	11	19	1	1	1	1	1	1	1	1	1	1			1	1	1	1	1	1	1	4	1	1	3	1	1	1	1
105	1	1	2	1	10	2	1	2	1	1	1	3	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1		5	1	2	1	1	4	1	1	2	1		1	1	1	1	1	1	1	3	1	1	1	1	1	3	2	1	1	1	1		1	2	1	2	1	1		1	1	1	1	1	1	1	1	1	1		3	1	1	1	1	1	1	1	1	9	1	1	1	1		1
106	1	1	2	1	1	33	1	2	1	1	1	2	1	1	7	1	1	2	1	2	1	1	6	1		4	1	1		1	13	1	2	1	1	1	6	1	5		1	1		1	2	1	2	1			4	1	1	1	2	1	1	1	2	8		1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1			1	1	1		1	6	1	5	1	1	1	1	1		1
107	1	1	5	1	1	2	1	6	1	1	1	2	3	1		1	1	2	1	11		1	1	1	1	1	1	1	8	1		1	2	1	1	1		2	2		1	1			2	1	4	1		5	1	1	1	1	3	1	1	3	5	4		1	8	1	2	1	1	19	1	1	1	1	1	2	1	1	1	1			1	1	1	1	1	1	1	1	1	1	3	1	1		1
108	1	1	2	1	1	2	1	2	1	1	1	2	1	13		1	1	2	1	1	1	1	7	1	1	7	1	1	1	1	1	1	2	1	1	1	1	1	2			1			1	1	10	1			1	1	1	1	3	1	1	1	1	9		1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	5			3	1	10	1	1	1	1	1	16	1	1	1	1		1
109	1	1	2	1	1	11	1	2	5	1	1	2	1	11	1	1	1	2	1	1	1	1	1	4	1	1	1	1	1	1	8	1	1	1	1	1	1	1	2		1	3	1	1	1	1	1	1	4	1	1	1	1	1	7	1	1	1	1	1	3	1	1	1	2	7	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1		1
110	1	1	2	1	1	2	1	2	1	1	1	2	1	1		1	1	2	1	2	1	1	1	1		2	1	1		1	1	1	2	10	1	1	1	1	2		1	1	1	1	2	1	2	1		1	1	1	1	1	2	1	3	1	2	1		1	1	1	2	1	1	1	1	1		1	1	1	5	1	1	1			1	1	1		2	1	1	1	1	1	1	1	1		1
111	1	1	2	1	1	2	1	2	1	1	1	2	1	1		1	1	2	1	2	1	1	1	1		6	1	1	1	1		1	2	1	1	1	1	1	2		1	1		1	2	1	2	1		1	1	1	1	1	2	3	1	1	1	1		1	1	1	2	1	1	1	1	2		1	1	1	1	1	1	1			1	1	3	1	1	1	1	1	1	1		2	2		1
112	1	1		1	1	34		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	22	1	1	1	1		1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	2	1		1	1	1	1	1	1
113	1	1	8	1	1	2	1	2	1	1	1	2	1	1	1	6	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2		1	1			1	1	1	1			1	1	1	1	3	1	1	1	1	1		1	23	1	2	1	12	1	1	1		1	1	1	1	1	1	6			1	1	11	1	1	1	1	1	1	1	1	1	6		1
114	1	1	2	1	1	2	1	2	1	1	1	5	3	7		1	1	2	1	2	1	1	1		1	1	1	1	1	1	9	1	2	5	5	1	1	2		8	1	1	2		2	1	4	1	7	1	1	1	1	1	3	1	1		1	140		1	1	1	2	1	1					1	1	1		4	1	1			1	1	4	1	3	3	2	1	6	1	15	1	1	1	1
115	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	19	1	1	1	1	1	1	1	1	1	1			1	1	1	1	1	1	1	1		1	1	1	1	1	1
116	1	1	2	6	1	2	1	2	1	1	1	3	1	14	1	7	1	2	1	1	1	1	1	1	1	1	1	1	1		1	1	2	1	9	1	1	1	2		1	1		1	1	1	1	1			1	1	1	1	3	2	1	1	1	1		1	2	1	2	1	1	19	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1		1
117	1	1	2	1	1	35	1	2	1	1	1	2	1	11	1	1	1	13	1	1	1	1	1	4	1	1	1	1	1	1	8	1	1	1	1	1	1	1	2		1	3	1	1	1	1	1	1		1	1	1	1	1	7	1	1	1	1	1		1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1			1	1	1	1	1	1	1	1	1	1	1	1	1		1
118	1	1	2	1	1	2		2	1	1	1	5	3	7		1	1	2	1		1	1	1		1	1	1	1	1	1	9	1	2	5	5	1	1	2	2	8	1	1	2		2	1	4	1	7	1	1	1	1	1	3	1	1		1	140		1	1		2	1	1					1	1			4	1	1			1	1	4	1	3	3	2	1	6	1	3	1	1	1	1
119	1	4	2	1	6	36	8	3	1	4	1	4	3	5	1	1	2	5	1	2	4	1	4	1	1	89	1	1	1	1	6	1	2		2	1	1	2	2	5	1	1		1	2	1	4	7			1	1	1	1	3	1	2	2	8	2		1	1	2	2	1	1	1	1	5		3	1	1	1	1	7	2			1	1	1	1	1	2	3	1	1	2	1	1	7		1
120	1	1	2	1	1	33	1	2	1	1	1	2	1	1	7	1	1	2	1	2	1	1	6	1		4	1	1		1	13	1	2	1	1	1	1	1	5		1	1		1	2	1	2	1			4	1	1	1	2	1	1	1	2	8		1	1	1	2	1	1	1	1	1		1	1	1	1	1	1	1	1		1	1	1		1	6	1	5	1	1	1	1	1		1
121	1	1	2	1	1	11	9	2	1	1	1	2	1	11	1	1	1	2	1	1	1	1	1	4	1	1	1	1	1	1	8	1	1	1	1	1	1	1	2		1	3		1	1	1	1	1			1	1	1	1	7	1	1	1	1	1		1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1				3	1	1	1	1	1	1	1	1	1	1	1		1
122	1	6	9	1	1	37	1	2	1	1	1	2	1	1	1	8	1	2	1	1	1	1	1	1	1	1	1	1	1	1	14	1	1	1	10	1	1	1	2		1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1		1
123	1	1	5	5	1	2	1	6	1	1	1	2	3	1	1	1	1	2	1	10		1	1	1	1	1	1	1	8	1		1	2	7	1	1	1	2	2		1	1	1		2	1	4	1		5	1	1	1	1	3	1	1	3	5	4		1	8	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	3	1	1		1
124	1	1	2	1	1	38	1	2	1	1	1	2	1	1		1	1	2	1	1	1	1	1	1	1	1	1	1	1	3	1	1	2	8	1	1	1	1	2		1	1		1	1	1	1	1	3		1	1	1	1	3	7	1	1	1	10		1	1	1	2	1	1	1	1	1		8	1	1	1	1	1	1			1	4	1	1	1	1	1	1	1	7	1	1	1		1
125	1	1	2	1	10	39	1	2	1	9	1	3	1	1	2	1	1	14	1		1	1	1	1	1	1	1	1	1			1	2	1	1	4	1	1	2	1	1	1		3	1	1	1	1	3	1	1	1	1	1	3	2	1	1	1	1		1	2	1	2	1	1	19	1	1	1	1	1	1	1	1	1	1			1	1	1	1	1	1	1	1	9	1	1	1	1		1
126	1	1	2	1	1	35	1	2	1	1	1	2	1	11	1	1	1	13	1	1	1	1	1	4	1	1	1	1	1	1	8	1	1	1	1		1	1	2	1	1	3	1	1	1	1	1	1	4	1	1	1	1	1	7	1	1	1	1	1		1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
127	1	1	5	1	1	2	1	6	1	1	1	2	3	1		9	1	2	1	11		1	1	1	1	1	1	1	8	1		1	2	1	1	1	1	2	2	1	1	1	1		2	1	4	1	11	5	1	1	1	1	3	1	1	3	5	4		1	8	1	2	1	1	5	1	1	1	1	1	2	1	1	1	1	1		1	1	1	9	1	1	1	1	1	1	3	1	1	1	1
